leverans_id,prenumeration_id,kund_id,pren_startdatum,paus_från,paus_till,pren_avslutsdatum,kasstyp,kostpreferens,antal_portioner,leveransvecka,leveransdatum,postnummer,veckapris,leveransstatus,recept_1,recept_2,recept_3,omdöme_text,omdömesdatum,omdömesbetyg
LEV-2024-000001,PREN-1002,KUND-05001,2024-04-10,,,,Klassisk,Standard,4,2024-W27,2024-07-03,10393,699,Levererad,Panerad fisk med remouladsås,Kyckling Tikka Masala,Köttfärssås med pasta,,,
LEV-2024-000002,PREN-1003,KUND-05002,2024-06-12,,,,Familj,Standard,6,2024-W27,2024-07-02,40545,"919,00",Levererad,Chicken nuggets-sallad,Köttbullar med makaroner,Fiskpinnar med potatismos,Älskar att slippa planera middagar. Tack!,2024-07-07,4
LEV-2024-000003,PREN-1011,KUND-05010,2024-05-11,,,2024-07-16,Vegetarisk,N/A,4,2024-W27,2024-07-02,10686,709,Levererad,Falafel med hummus,Svamprisotto,Vegetarisk lasagne,Svamprisotto var verkligen inte gott. Slängde hälften.,2024-07-06,2
LEV-2024-000004,PREN-1017,KUND-05016,2024-05-26,,,,Snabb & Enkel,Laktosfri,4,2024-W27,2024-07-01,40695,689,Levererad,15-minuters wok,Toast med avokado och ägg,Snabb tomatsoppa,Priset är högt men sparar tid. På gränsen.,2024-07-06,3
LEV-2024-000005,PREN-1018,KUND-05017,2024-05-02,,,2024-08-19,KLASSISK,,2,2024-W27,2024-07-01,21938,499,Levererad,Panerad fisk med remouladsås,Laxfile med potatismos,Pasta Carbonara,"Fungerar, men recepten börjar bli repetitiva.",2024-07-08,3
LEV-2024-000006,PREN-1023,KUND-05022,2024-04-21,,,,Klassisk,Glutenfri,4,2024-W27,2024-07-02,10811,749,Levererad,Köttfärssås med pasta,Kyckling Tikka Masala,Kycklinggryta med ris,,,
LEV-2024-000007,PREN-1024,KUND-05023,2024-05-14,,,2024-08-05,Klassisk,Standard,6,2024-W27,2024-07-02,60258,899,Levererad,Panerad fisk med remouladsås,Laxfile med potatismos,Biff med bearnaise,,,
LEV-2024-000008,PREN-1029,KUND-05028,2024-06-17,,,,Vegetarian,Nötfri,6,2024-W27,2024-07-02,10982,899,Levererad,Pasta med pesto och mozarella,Grönsaksgratäng,Falafel med hummus,,,
LEV-2024-000009,PREN-1032,KUND-05031,2024-05-11,,,,klassisk,Standard,4,2024-W27,2024-07-02,10474,699,Levererad,Pasta Carbonara,Fläskfilé med gräddsås,Kycklinggryta med ris,,,
LEV-2024-000010,PREN-1033,KUND-05032,2024-04-25,,,,Vegetarisk,Glutenfri,2,2024-W27,2024-07-01,11291,529,Levererad,Grönsaksgratäng,Falafel med hummus,Vegetarisk lasagne,Snabb leverans och allt var fräscht.,2024-07-07,4
